id,category,question
119,Profile/Bio,What roles are you currently targeting? (keep it under 60 seconds)
120,Career Gaps,What did you do during your gap to stay current? (focus on numbers)
121,Skills & Tech Stack,Have you built real-time systems (WebSockets/streaming)? (please be concise)
122,Experience & Projects,Describe a time you optimized cost or latency. (STAR format)
123,Experience & Projects,Give an example of cross-team collaboration.
124,Profile/Bio,What problems do you love solving? (detail your role)
125,Education,Any hackathons or competitions you participated in? (keep it under 60 seconds)
126,Profile/Bio,Are you open to remote or hybrid roles? (detail your role)
127,Skills & Tech Stack,What is your core tech stack? (please be concise)
128,Behavioral & Soft Skills,How do you manage up? (STAR format)
129,Certifications,What was the most challenging certification? (please be concise)
130,Education,How did your education prepare you for industry? (focus on numbers)
131,Profile/Bio,What makes you different from other candidates? (focus on numbers)
132,Skills & Tech Stack,What's your experience with security best practices?
133,Role/Company Fit & Match Score,Give a 90-day plan for succeeding as a Frontend Engineer.
134,Skills & Tech Stack,What ML/DL frameworks have you used? (focus on numbers)
135,Profile/Bio,What are your preferred working hours? (STAR format)
136,Experience & Projects,How do you de-risk complex deliveries? (detail your role)
137,Education,Any hackathons or competitions you participated in? (STAR format)
138,Profile/Bio,What is your leadership style? (keep it under 60 seconds)
139,Profile/Bio,Are you open to remote or hybrid roles? (keep it under 60 seconds)
140,Behavioral & Soft Skills,Describe a failure and what you learned. (please be concise)
141,Skills & Tech Stack,What is your experience with testing frameworks? (keep it under 60 seconds)
142,Profile/Bio,How do you stay up to date with technology? (please be concise)
143,Certifications,Which certification are you planning next? (please be concise)
144,Career Gaps,What value did the break add to your perspective? (keep it under 60 seconds)
145,Experience & Projects,How large was the team and what was the timeline? (detail your role)
146,Experience & Projects,Which metrics improved due to the CI/CD pipeline overhaul?
147,Profile/Bio,What motivates you at work?
148,Experience & Projects,What were the biggest challenges in observability stack revamp? (STAR format)
149,Profile/Bio,Tell me about Veera Mane. (please be concise)
150,Profile/Bio,Elevator pitch: who are you and what do you do? (detail your role)
151,Certifications,List your active certifications. (detail your role)
152,Experience & Projects,How do you sunset legacy systems safely? (detail your role)
153,Skills & Tech Stack,What frontend frameworks have you used? (keep it under 60 seconds)
154,Achievements & Impact,Share a quantifiable impact you delivered. (focus on numbers)
155,Experience & Projects,What trade-offs did you make in the observability stack revamp?
156,Skills & Tech Stack,What's your level in your proficiency in React.
157,Career Gaps,How do you ensure a smooth ramp-up after a gap? (STAR format)
158,Experience & Projects,How did you measure success for {PROJECT}?
159,Experience & Projects,How do you document your projects?
160,Career Gaps,Do you have any career gaps? (STAR format)
161,Profile/Bio,What industries have you contributed to? (detail your role)
162,Education,What was your specialization?
163,Experience & Projects,Which metrics improved due to the mobile app backend?
164,Achievements & Impact,What is a metric you significantly improved? (focus on numbers)
165,Compensation,Would you consider a lower salary for better role fit?
166,Achievements & Impact,A time you automated a repetitive process—results? (keep it under 60 seconds)
167,Skills & Tech Stack,How would you rate your proficiency in Tableau.
168,Personal Interests (Optional),What communities or clubs are you part of?
169,Experience & Projects,What was your role in the {PROJECT} project? (keep it under 60 seconds)
170,Education,Do you mentor or teach others? (keep it under 60 seconds)
171,Skills & Tech Stack,How do you design APIs? (keep it under 60 seconds)
172,Certifications,What was the most challenging certification? (keep it under 60 seconds)
173,Profile/Bio,Which locations are you open to? (detail your role)
174,Certifications,What was the most challenging certification?
175,Skills & Tech Stack,How do you design APIs?
176,Skills & Tech Stack,Rate your proficiency in FastAPI.
177,Role/Company Fit & Match Score,Give a 90-day plan for succeeding as a Solution Architect.
178,Behavioral & Soft Skills,How do you communicate complex ideas simply?
179,Achievements & Impact,Have you mentored juniors or led a guild? (STAR format)
180,Career Gaps,What motivated the break and what did you learn? (STAR format)
181,Career Gaps,What value did the break add to your perspective? (detail your role)
182,Role/Company Fit & Match Score,What impact can you deliver in your first 90 days?
183,Experience & Projects,How large was the team and what was the timeline? (keep it under 60 seconds)
184,Behavioral & Soft Skills,How do you communicate complex ideas simply? (detail your role)
185,Profile/Bio,What are you working on right now? (STAR format)
186,Education,Have you published papers or blogs? (keep it under 60 seconds)
187,Profile/Bio,What domains have you worked in?
188,Profile/Bio,Tell me about {NAME}. (please be concise)
189,Role/Company Fit & Match Score,"On a 0–100 scale, what's your match score for Solution Architect?"
190,Experience & Projects,Which metrics improved due to the payment gateway integration?
191,Skills & Tech Stack,What's your level in your proficiency in MongoDB.
192,Profile/Bio,What is your leadership style? (focus on numbers)
193,Certifications,Are your cloud certifications current?
194,Profile/Bio,Which locations are you open to?
195,Experience & Projects,What was your role in the API platform project? (please be concise)
196,Achievements & Impact,Have you mentored juniors or led a guild? (detail your role)
197,Achievements & Impact,Have you filed any patents or disclosures? (please be concise)
198,Profile/Bio,How do teammates describe you? (STAR format)
199,Skills & Tech Stack,Which design patterns do you commonly use?
200,Skills & Tech Stack,"How do you implement observability (logs, metrics, traces)? (please be concise)"
201,Skills & Tech Stack,What's your level in your proficiency in Hadoop.
202,Career Gaps,What value did the break add to your perspective?
203,Skills & Tech Stack,What databases have you used? (focus on numbers)
204,Personal Interests (Optional),What are your hobbies outside of work?
205,Achievements & Impact,Have you filed any patents or disclosures? (keep it under 60 seconds)
206,Skills & Tech Stack,Do you have experience with microservices? (focus on numbers)
207,Profile/Bio,What industries have you contributed to?
208,Certifications,Why did you choose to certify in {TECH}? (focus on numbers)
209,Education,What was your specialization? (STAR format)
210,Skills & Tech Stack,What's your level in your proficiency in RabbitMQ.
211,Role/Company Fit & Match Score,How do your values align with the company?
212,Profile/Bio,What are your preferred working hours? (please be concise)
213,Skills & Tech Stack,Rate your proficiency in PyTorch.
214,Experience & Projects,What was your role in the API platform project? (keep it under 60 seconds)
215,Skills & Tech Stack,"How do you implement observability (logs, metrics, traces)? (focus on numbers)"
216,Experience & Projects,What metrics (KPIs/OKRs) did your work move? (focus on numbers)
217,Education,Have you completed online courses or MOOCs? (keep it under 60 seconds)
218,Skills & Tech Stack,"How do you implement observability (logs, metrics, traces)?"
219,Skills & Tech Stack,What's your level in your proficiency in NumPy.
220,Skills & Tech Stack,How do you design APIs? (STAR format)
221,Career Gaps,What value did the break add to your perspective? (focus on numbers)
222,Education,Did you receive any academic awards?
223,Achievements & Impact,A time you automated a repetitive process—results? (STAR format)
224,Achievements & Impact,Have you mentored juniors or led a guild? (keep it under 60 seconds)
225,Experience & Projects,What challenges did you overcome in the ML-based recommendation engine?
226,Career Gaps,How do you address concerns about the gap?
227,Profile/Bio,How do you stay up to date with technology? (keep it under 60 seconds)
228,Certifications,Have you expired certifications to renew? (keep it under 60 seconds)
229,Career Gaps,What value did the break add to your perspective? (STAR format)
230,Achievements & Impact,Share a time you reduced costs or increased revenue. (please be concise)
231,Experience & Projects,Describe an example of stakeholder management. (STAR format)
232,Profile/Bio,List three words that best describe you professionally.
233,Achievements & Impact,List your top professional achievements. (focus on numbers)
234,Skills & Tech Stack,What's your core expertise and toolchain.
235,Achievements & Impact,Have you spoken at conferences or meetups? (please be concise)
236,Role/Company Fit & Match Score,How well do you fit the Data Engineer role?
237,Behavioral & Soft Skills,How do you handle high-pressure incidents?
238,Profile/Bio,Tell me about {NAME}. (keep it under 60 seconds)
239,Role/Company Fit & Match Score,Explain why you're a strong fit for the Data Engineer role.
240,Experience & Projects,How do you ensure maintainability and scalability? (please be concise)
241,Personal Interests (Optional),Any interests that influence your work style?
242,Experience & Projects,What challenges did you overcome in the microservices migration?
243,Experience & Projects,Give an example of cross-team collaboration. (detail your role)
244,Experience & Projects,How do you handle incident response? (please be concise)
245,Profile/Bio,What impact have you delivered in your recent roles?
246,Experience & Projects,What were the biggest challenges in observability stack revamp?
247,Experience & Projects,How do you de-risk complex deliveries? (keep it under 60 seconds)
248,Profile/Bio,Can you summarize your career journey so far? (keep it under 60 seconds)
249,Experience & Projects,How do you handle requirement changes mid-project? (detail your role)
250,Skills & Tech Stack,What's your experience with security best practices? (keep it under 60 seconds)
251,Profile/Bio,How would you describe yourself in one paragraph? (detail your role)
252,Skills & Tech Stack,Rate your proficiency in {TECH}.
253,Skills & Tech Stack,Self-assess your proficiency in your proficiency in Redis.
254,Behavioral & Soft Skills,How do you manage up? (please be concise)
255,Education,Are you pursuing further education? (detail your role)
256,Work Preferences & Availability,Are you open to relocation to {CITY}?
257,Skills & Tech Stack,What is your experience with serverless? (keep it under 60 seconds)
258,Certifications,Are your cloud certifications current? (STAR format)
259,Behavioral & Soft Skills,How do you communicate complex ideas simply? (focus on numbers)
260,Behavioral & Soft Skills,Describe a conflict you resolved. (detail your role)
261,Profile/Bio,Tell me about Veera Mane. (keep it under 60 seconds)
262,Certifications,Which certification are you planning next? (keep it under 60 seconds)
263,Behavioral & Soft Skills,How do you give and receive feedback? (STAR format)
264,Certifications,Which certification are you planning next?
265,Personal Interests (Optional),What volunteer work have you done?
266,Profile/Bio,Tell me about {NAME}. (focus on numbers)
267,Profile/Bio,Do you have work authorization constraints?
268,Skills & Tech Stack,What is your approach to code reviews? (please be concise)
269,Profile/Bio,How do you stay up to date with technology?
270,Profile/Bio,Tell me about {NAME}. (STAR format)
271,Skills & Tech Stack,"How do you implement observability (logs, metrics, traces)? (detail your role)"
272,Profile/Bio,How do you handle feedback? (keep it under 60 seconds)
273,Skills & Tech Stack,Which programming languages are you most comfortable with?
274,Experience & Projects,What were the biggest challenges in observability stack revamp? (focus on numbers)
275,Certifications,Do you maintain CE credits (if applicable)?
276,Achievements & Impact,Share a quantifiable impact you delivered. (keep it under 60 seconds)
277,Learning & Growth,How do you structure your learning plan?
278,Skills & Tech Stack,What backend frameworks have you used? (please be concise)
279,Skills & Tech Stack,What is your experience with REST vs GraphQL? (keep it under 60 seconds)
280,Experience & Projects,What would you do differently in payment gateway integration?
281,Skills & Tech Stack,What's your experience with security best practices? (STAR format)
282,Experience & Projects,Describe a feature you took from idea to production.
283,Education,What was your GPA/percentage (if you share)? (please be concise)
284,Bot & Meta,Can I download your resume as PDF?
285,Education,What thesis or capstone did you complete? (focus on numbers)
286,Certifications,Why did you choose to certify in {TECH}?
287,Skills & Tech Stack,What is your experience with serverless? (detail your role)
288,Skills & Tech Stack,Self-assess your proficiency in your proficiency in Docker.
289,Learning & Growth,How do you practice new technologies?
290,Achievements & Impact,What is a metric you significantly improved? (STAR format)
291,Bot & Meta,How do you keep information up to date?
292,Achievements & Impact,What is a metric you significantly improved? (detail your role)
293,Experience & Projects,What metrics (KPIs/OKRs) did your work move? (detail your role)
294,Certifications,Do you have security or compliance certifications? (STAR format)
295,Certifications,List your active certifications.
296,Experience & Projects,What was your role in the API platform project?
297,Role/Company Fit & Match Score,Map your skills to the Solution Architect job description.
298,Experience & Projects,How did you ensure reliability and uptime? (detail your role)
299,Education,Where did you study B.Tech in Computer Science? (STAR format)
300,Education,What is your highest degree? (STAR format)
301,Education,What was your GPA/percentage (if you share)? (STAR format)
302,Experience & Projects,Describe a zero-to-one project you led. (keep it under 60 seconds)
303,Experience & Projects,What would you refactor if you revisited the observability stack revamp?
304,Certifications,How do you validate hands-on skills beyond certs? (STAR format)
305,Career Gaps,How do you ensure a smooth ramp-up after a gap? (detail your role)
306,Compensation,What is your expected CTC?
307,Compensation,What compensation structure do you prefer?
308,Experience & Projects,How do you handle incident response? (detail your role)
309,Skills & Tech Stack,Which programming languages are you most comfortable with? (STAR format)
310,Education,What was your specialization? (keep it under 60 seconds)
311,Experience & Projects,What were the biggest challenges in {PROJECT}? (keep it under 60 seconds)
312,Experience & Projects,What were the biggest challenges in {PROJECT}?
313,Skills & Tech Stack,How do you handle authentication and authorization? (please be concise)
314,Portfolio & Repos,Where can I find your resume?
315,Education,What certifications complement your degree? (please be concise)
316,Profile/Bio,Can you summarize your career journey so far?
317,Certifications,Why did you choose to certify in Redis? (detail your role)
318,Education,Did you receive any academic awards? (detail your role)
319,Profile/Bio,How do you prioritize tasks?
320,Profile/Bio,Do you have work authorization constraints? (keep it under 60 seconds)
321,Skills & Tech Stack,Which programming languages are you most comfortable with? (detail your role)
322,Experience & Projects,How do you internationalize/localize applications? (please be concise)
323,Learning & Growth,How do you measure skill improvement?
324,Education,What is your highest degree? (keep it under 60 seconds)
325,Behavioral & Soft Skills,How do you onboard quickly to new domains? (focus on numbers)
326,Experience & Projects,What tech stack did you use for API platform? (detail your role)
327,Certifications,How do you validate hands-on skills beyond certs? (focus on numbers)
328,Profile/Bio,Tell me about {NAME}.
329,Career Gaps,What motivated the break and what did you learn?
330,Achievements & Impact,Share a quantifiable impact you delivered. (detail your role)
331,Profile/Bio,What is your unique value proposition?
332,Experience & Projects,Which metrics improved due to the ML-based recommendation engine?
333,Bot & Meta,Can you compare your profile to a given JD?
334,Skills & Tech Stack,What is your experience with testing frameworks? (please be concise)
335,Experience & Projects,How did you measure success for real-time analytics system? (please be concise)
336,Profile/Bio,How do you handle ambiguity? (please be concise)
337,Experience & Projects,Describe a time you optimized cost or latency. (focus on numbers)
338,Experience & Projects,How do you de-risk complex deliveries? (STAR format)
339,Profile/Bio,What are your preferred working hours? (focus on numbers)
340,Achievements & Impact,Have you spoken at conferences or meetups? (STAR format)
341,Experience & Projects,What tech stack did you use for API platform? (keep it under 60 seconds)
342,Profile/Bio,What is your problem-solving approach?
343,Education,Where did you study B.Tech in Computer Science? (focus on numbers)
344,Skills & Tech Stack,Rate your proficiency in Redis.
345,Certifications,What was the most challenging certification? (focus on numbers)
346,Experience & Projects,What tech stack did you use for API platform? (please be concise)
347,Skills & Tech Stack,How do you ensure data quality? (keep it under 60 seconds)
348,Education,Are you pursuing further education? (focus on numbers)
349,Skills & Tech Stack,How do you approach performance optimization? (keep it under 60 seconds)
350,Skills & Tech Stack,How do you handle caching layers?
351,Personal Interests (Optional),How do you balance work and life?
352,Experience & Projects,What would you do differently in payment gateway integration? (detail your role)
353,Profile/Bio,Tell me about {NAME}. (detail your role)
354,Certifications,Are your cloud certifications current? (keep it under 60 seconds)
355,Education,How did your education prepare you for industry? (STAR format)
356,Skills & Tech Stack,How would you rate your proficiency in Kubernetes.
357,Career Gaps,How do you explain your career break from {DATE_FROM} to {DATE_TO}? (please be concise)
358,Education,What was your GPA/percentage (if you share)?
359,Experience & Projects,How large was the team and what was the timeline? (STAR format)
360,Profile/Bio,What is your leadership style? (please be concise)
361,Experience & Projects,What challenges did you overcome in the CI/CD pipeline overhaul?
362,Achievements & Impact,Have you won any awards or recognitions? (focus on numbers)
363,Certifications,How do you validate hands-on skills beyond certs? (detail your role)
364,Skills & Tech Stack,"How do you orchestrate containers (e.g., Kubernetes)? (STAR format)"
365,Role/Company Fit & Match Score,"On a 0–100 scale, what's your match score for {ROLE}?"
366,Experience & Projects,What would you do differently in {PROJECT}? (detail your role)
367,Profile/Bio,What is your problem-solving approach? (detail your role)
368,Experience & Projects,What did you learn from a failed experiment? (STAR format)
369,Skills & Tech Stack,Rate your proficiency in Docker.
370,Skills & Tech Stack,"How do you orchestrate containers (e.g., Kubernetes)? (keep it under 60 seconds)"
371,Education,Where did you study {DEGREE}? (keep it under 60 seconds)
372,Experience & Projects,What was your role in the {PROJECT} project? (STAR format)
373,Career Gaps,How do you explain your career break from {DATE_FROM} to {DATE_TO}?
374,Profile/Bio,Do you have work authorization constraints? (please be concise)
375,Role/Company Fit & Match Score,"On a 0–100 scale, what's your match score for ML Engineer?"
376,Skills & Tech Stack,What's your level in your proficiency in Kubernetes.
377,Behavioral & Soft Skills,Describe a conflict you resolved. (STAR format)
378,Education,Have you completed online courses or MOOCs? (STAR format)
379,Education,Any hackathons or competitions you participated in? (detail your role)
380,Profile/Bio,How do you handle ambiguity? (STAR format)
381,Certifications,Why did you choose to certify in {TECH}? (keep it under 60 seconds)
382,Education,Did you receive any academic awards? (please be concise)
383,Profile/Bio,What problems do you love solving? (keep it under 60 seconds)
384,Education,What was your specialization? (please be concise)
385,Skills & Tech Stack,Have you worked with message queues like Kafka or RabbitMQ? (focus on numbers)
386,Profile/Bio,What are you working on right now? (focus on numbers)
387,Career Gaps,How did you plan your return to work? (please be concise)
388,Education,Are you pursuing further education?
389,Skills & Tech Stack,How would you rate your proficiency in Jenkins.
390,Role/Company Fit & Match Score,Which experiences de-risk this role for you?
391,Profile/Bio,List three words that best describe you professionally. (please be concise)
392,Profile/Bio,Give a brief bio of Veera Mane. (please be concise)
393,Profile/Bio,How do you prioritize tasks? (detail your role)
394,Education,How did your education prepare you for industry? (please be concise)
395,Behavioral & Soft Skills,What do you do when blocked?
396,Experience & Projects,Describe your contribution to the data warehouse modernization.
397,Role/Company Fit & Match Score,Explain why you're a strong fit for the Frontend Engineer role.
398,Skills & Tech Stack,Rate your proficiency in React.
399,Role/Company Fit & Match Score,Map your skills to the Cloud Engineer job description.
400,Profile/Bio,Give a brief bio of {NAME}. (keep it under 60 seconds)
401,Education,Are you pursuing further education? (STAR format)
402,Experience & Projects,How did you measure success for {PROJECT}? (detail your role)
403,Experience & Projects,What was your contribution to architecture decisions? (STAR format)
404,Skills & Tech Stack,"How do you orchestrate containers (e.g., Kubernetes)? (detail your role)"
405,Skills & Tech Stack,How do you containerize applications? (detail your role)
406,Education,What certifications complement your degree? (detail your role)
407,Education,Where did you study B.Tech in Computer Science? (detail your role)
408,Profile/Bio,What are your preferred working hours? (detail your role)
409,Behavioral & Soft Skills,How do you handle scope creep? (STAR format)
410,Role/Company Fit & Match Score,Give a 90-day plan for succeeding as a Full-Stack Developer.
411,Skills & Tech Stack,List your top 10 technical skills. (please be concise)
412,Experience & Projects,Describe an example of stakeholder management. (focus on numbers)
413,Certifications,How do you validate hands-on skills beyond certs? (keep it under 60 seconds)
414,Experience & Projects,Give an example of cross-team collaboration. (focus on numbers)
415,Skills & Tech Stack,How would you rate your proficiency in Flask.
416,Behavioral & Soft Skills,How do you onboard quickly to new domains?
417,Experience & Projects,How did you collaborate with designers/product managers? (detail your role)
418,Achievements & Impact,List your top professional achievements.
419,Skills & Tech Stack,Which cloud platforms do you know (AWS/Azure/GCP)? (detail your role)
420,Bot & Meta,How do I ask you about experience?
421,Experience & Projects,What would you do differently in {PROJECT}? (focus on numbers)
422,Skills & Tech Stack,How do you approach performance optimization? (focus on numbers)
423,Experience & Projects,How did you measure success for {PROJECT}? (please be concise)
424,Career Gaps,What motivated the break and what did you learn? (keep it under 60 seconds)
425,Experience & Projects,How do you handle requirement changes mid-project? (keep it under 60 seconds)
426,Experience & Projects,"Describe a migration you executed (e.g., monolith to microservices). (detail your role)"
427,Skills & Tech Stack,Explain your core expertise and tooling.
428,Experience & Projects,How did you measure success for real-time analytics system?
429,Experience & Projects,How do you internationalize/localize applications?
430,Skills & Tech Stack,What is your experience with testing frameworks?
431,Role/Company Fit & Match Score,Map your skills to the ML Engineer job description.
432,Career Gaps,How do you address concerns about the gap? (focus on numbers)
433,Skills & Tech Stack,"How do you orchestrate containers (e.g., Kubernetes)?"
434,Achievements & Impact,Have you won any awards or recognitions? (detail your role)
435,Skills & Tech Stack,What's your level in your proficiency in Redis.
436,Learning & Growth,What communities are you part of?
437,Profile/Bio,Which locations are you open to? (focus on numbers)
438,Behavioral & Soft Skills,How do you manage up? (detail your role)
439,Experience & Projects,What metrics (KPIs/OKRs) did your work move? (keep it under 60 seconds)
440,Behavioral & Soft Skills,How do you handle scope creep? (keep it under 60 seconds)
441,Skills & Tech Stack,Self-assess your proficiency in your proficiency in Django.
442,Profile/Bio,What impact have you delivered in your recent roles? (please be concise)
443,Experience & Projects,What were the biggest challenges in {PROJECT}? (detail your role)
444,Experience & Projects,What trade-offs did you make in the real-time analytics system?
445,Achievements & Impact,How have you improved team productivity? (detail your role)
446,Experience & Projects,How do you ensure accessibility in your products? (detail your role)
447,Behavioral & Soft Skills,How do you onboard quickly to new domains? (detail your role)
448,Profile/Bio,What motivates you at work? (STAR format)
449,Experience & Projects,What performance improvements did you achieve? (focus on numbers)
450,Experience & Projects,How did you measure success for real-time analytics system? (detail your role)
451,Profile/Bio,What are your top strengths in one line?
452,Certifications,Do you have security or compliance certifications? (keep it under 60 seconds)
453,Role/Company Fit & Match Score,What gaps would you close to excel as a Solution Architect?
454,Education,What was your GPA/percentage (if you share)? (detail your role)
455,Achievements & Impact,How have you improved team productivity? (please be concise)
456,Bot & Meta,What data sources do you use for answers?
457,Experience & Projects,What tech stack did you use for {PROJECT}? (detail your role)
458,Experience & Projects,What were the biggest challenges in observability stack revamp? (detail your role)
459,Work Preferences & Availability,Are you open to contract roles?
460,Achievements & Impact,Have you won any awards or recognitions? (STAR format)
461,Experience & Projects,Describe your contribution to the observability stack revamp.
462,Education,What is your highest degree?
463,Achievements & Impact,Have you filed any patents or disclosures?
